METRO ID,DAY,ON,OFF,TOTAL
m1,Weekday,9680.30094148445,9761.426902968435,19441.727844452897
m1,Saturday,5601.19531068343,5542.905422574396,11144.100733257816
m1,Sunday,4758.322117022954,4702.297110401655,9460.619227424604
m2,Weekday,84340.17482161366,84922.87852416528,169263.0533457787
m2,Saturday,54201.410592371285,54387.752224815966,108589.16281718753
m2,Sunday,46615.700642553995,46845.59902771459,93461.29967026865
m3,Weekday,12318.48391246659,12473.428797334333,24791.912709800916
m3,Saturday,8045.130472302505,8245.658250110428,16290.788722412937
m3,Sunday,6914.41369064938,7023.942843653207,13938.356534302611
m4,Weekday,8434.562979575592,8607.23415263801,17041.797132213633
m4,Saturday,4387.59097769614,4433.748913716904,8821.339891413056
m4,Sunday,3816.6695784925823,3880.811133311156,7697.480711803734
all,Weekday,116938.01089598623,117824.83730507869,234762.84820106506
all,Saturday,73114.06797354405,73439.56618761916,146553.63416116324
all,Sunday,62846.36528335324,63176.52620843161,126022.89149178457
